emb_0,emb_1,label
0.19177303,0.27131295,1
0.28988433,0.21955474,0
0.24130124,0.25490808,1
0.46042436,0.13366099,0
0.20114031,0.2635005,0
0.31738138,0.20731662,1
0.42275938,0.1547636,0
0.3277991,0.20774241,1
0.3972786,0.17566444,0
0.41872525,0.159535,0
0.44155183,0.1471587,0
0.18805853,0.27208567,1
0.42607442,0.15226053,0
0.3627428,0.19298352,0
0.21274278,0.26675558,1
0.27389503,0.23097031,1
0.46057066,0.13360311,0
0.2295255,0.24907221,1
0.44687608,0.14379121,1
0.19646293,0.26842803,1
0.45221493,0.14052056,0
0.4185358,0.16003595,0
0.25371334,0.23494853,1
0.25591558,0.24469765,0
0.29188097,0.22223885,0
0.420795,0.15734,1
